buyer_id,first_name,last_name,phone_number,email,budget,preference,status,buyer_agent_id
55,Lee,Wilderman,+1 (762) 929-5942,Lee59@yahoo.com,3800,renter,inactive,2851
56,Gabriel,Leffler,+1 (644) 001-8884,Gabriel5@hotmail.com,3600,renter,inactive,1311
57,Sylvester,Boyle,+1 (744) 830-7731,Sylvester.Boyle@gmail.com,2080000,buyer,looking,252
58,Ross,Boehm,+1 (851) 360-7565,Ross72@yahoo.com,4600,renter,inactive,445
59,Dana,Fadel,+1 (000) 128-1122,Dana.Fadel35@gmail.com,4180000,buyer,looking,2535
60,Renee,Stamm,+1 (375) 566-7096,Renee.Stamm@yahoo.com,3030000,buyer,inactive,3945
61,Tina,Kuhic-Steuber,+1 (362) 733-7185,Tina_Kuhic-Steuber@hotmail.com,4200,renter,looking,25
62,Sonia,Konopelski,+1 (131) 590-0820,Sonia13@hotmail.com,300,renter,inactive,2083
63,Tami,Collins,+1 (035) 270-1427,Tami.Collins45@gmail.com,455000,buyer,inactive,2226
64,Kay,Terry,+1 (724) 228-4057,Kay_Terry@hotmail.com,1105000,buyer,inactive,2231
65,Elbert,Kozey,+1 (549) 060-9615,Elbert7@hotmail.com,3600,renter,inactive,3510
66,Jenna,Raynor,+1 (367) 352-1521,Jenna92@gmail.com,1980000,buyer,inactive,4966
67,Eugene,Fritsch,+1 (990) 604-5806,Eugene60@hotmail.com,4530000,buyer,inactive,4430
68,Laura,Stracke,+1 (125) 152-7066,Laura.Stracke19@gmail.com,400,renter,inactive,3154
69,Isabel,Bergnaum,+1 (881) 545-9998,Isabel.Bergnaum@gmail.com,2600,renter,inactive,4329
70,Theodore,Bayer,+1 (088) 089-1480,Theodore69@hotmail.com,4805000,buyer,inactive,4775
71,Thelma,Lueilwitz,+1 (239) 349-3495,Thelma_Lueilwitz@hotmail.com,1605000,buyer,inactive,2470
72,Desiree,Langworth,+1 (344) 957-8999,Desiree.Langworth95@hotmail.com,1005000,buyer,looking,434
73,Mark,Pollich,+1 (997) 132-4580,Mark.Pollich@hotmail.com,3905000,buyer,inactive,1981
74,Ethel,Wilkinson-Hamill,+1 (106) 381-8648,Ethel11@gmail.com,4705000,buyer,inactive,2130
75,Vera,Ortiz,+1 (001) 743-1750,Vera45@yahoo.com,4400,renter,inactive,2640
76,Jamie,Swift,+1 (344) 710-5842,Jamie.Swift29@yahoo.com,1255000,buyer,inactive,3547
77,Alejandro,Fahey,+1 (335) 955-1906,Alejandro_Fahey58@yahoo.com,3100,renter,inactive,3296
78,Minnie,Johns,+1 (511) 000-6479,Minnie75@yahoo.com,1805000,buyer,inactive,3083
79,Steven,Hauck,+1 (658) 529-1477,Steven_Hauck@yahoo.com,3600,renter,inactive,4155
80,Phillip,Nienow,+1 (118) 723-1034,Phillip_Nienow@yahoo.com,1400,renter,inactive,3519
81,Alfonso,Kuhn,+1 (363) 170-0810,Alfonso_Kuhn@hotmail.com,180000,buyer,inactive,3129
82,Milton,Pouros,+1 (149) 598-6203,Milton_Pouros61@yahoo.com,3100,renter,looking,2411
83,Sean,Breitenberg,+1 (427) 275-1486,Sean_Breitenberg@yahoo.com,1805000,buyer,inactive,4218
84,Lillian,Pollich,+1 (480) 372-6194,Lillian31@yahoo.com,900,renter,inactive,2479
85,Toby,Murray,+1 (096) 400-0519,Toby92@yahoo.com,3955000,buyer,inactive,678
86,Jesse,Bode,+1 (543) 123-6951,Jesse78@hotmail.com,3500,renter,inactive,2794
87,Willis,Watsica,+1 (892) 253-5724,Willis.Watsica@yahoo.com,4600,renter,looking,3026
88,Anthony,Schiller,+1 (440) 491-8339,Anthony91@gmail.com,1355000,buyer,inactive,1031
89,Phillip,Leffler,+1 (733) 116-8550,Phillip43@hotmail.com,3900,renter,looking,624
90,Andrew,Davis,+1 (187) 305-4371,Andrew97@gmail.com,2555000,buyer,inactive,19
91,Ira,Mertz,+1 (490) 968-9107,Ira.Mertz@yahoo.com,2930000,buyer,inactive,2712
92,Garrett,Rodriguez,+1 (994) 919-3761,Garrett2@yahoo.com,4400,renter,looking,1644
93,Diana,Herman,+1 (435) 595-4874,Diana_Herman@hotmail.com,2805000,buyer,inactive,4187
94,Casey,Homenick,+1 (991) 145-7260,Casey.Homenick@hotmail.com,1000,renter,looking,2766
95,Kellie,Langworth,+1 (887) 487-0933,Kellie4@gmail.com,2355000,buyer,inactive,1226
96,Saul,Stanton,+1 (250) 752-0959,Saul.Stanton56@yahoo.com,2630000,buyer,looking,1509
97,Kristin,Hoppe,+1 (281) 761-7268,Kristin94@gmail.com,1230000,buyer,inactive,1138
98,Amber,Considine,+1 (268) 836-4259,Amber.Considine@hotmail.com,1600,renter,looking,4796
99,Kenneth,Bartoletti-Kulas,+1 (460) 030-1892,Kenneth7@gmail.com,1000,renter,looking,2707
100,Penny,Tillman,+1 (526) 265-6366,Penny_Tillman@hotmail.com,200,renter,inactive,3226
101,Jared,Zemlak,+1 (829) 365-9197,Jared_Zemlak@gmail.com,1100,renter,inactive,4149
102,Edward,Hamill,+1 (425) 346-5908,Edward_Hamill@gmail.com,1480000,buyer,inactive,2382
103,Dennis,Lang,+1 (241) 780-2331,Dennis.Lang@gmail.com,1500,renter,looking,2484
104,Armando,Considine,+1 (528) 316-7734,Armando_Considine46@gmail.com,300,renter,looking,4417
105,Melody,Schowalter,+1 (689) 824-1861,Melody58@hotmail.com,4680000,buyer,inactive,2191
106,Leon,Koch,+1 (350) 385-3556,Leon50@yahoo.com,1500,renter,looking,2789
107,Johnathan,Pacocha,+1 (126) 877-9876,Johnathan_Pacocha@gmail.com,500,renter,inactive,1318
108,Kelvin,Schuppe,+1 (280) 649-5023,Kelvin42@hotmail.com,1300,renter,inactive,230
109,Reginald,Boyer,+1 (278) 503-1885,Reginald90@hotmail.com,900,renter,inactive,2666
110,Jody,Howe,+1 (781) 232-2888,Jody.Howe72@hotmail.com,200,renter,inactive,3608
111,Allison,Hickle,+1 (533) 626-4723,Allison_Hickle@yahoo.com,3455000,buyer,looking,2214
112,Rose,Dietrich,+1 (179) 170-4150,Rose_Dietrich38@yahoo.com,2900,renter,inactive,3279
113,Blake,Hegmann,+1 (432) 470-4000,Blake_Hegmann10@hotmail.com,3355000,buyer,inactive,2843
114,Keith,Bauch,+1 (576) 088-8482,Keith.Bauch@gmail.com,1700,renter,looking,1562
115,Walter,Russel,+1 (335) 177-1140,Walter_Russel1@hotmail.com,700,renter,inactive,4414
116,April,Maggio,+1 (017) 341-8136,April61@yahoo.com,1080000,buyer,inactive,2573
117,Morris,Bradtke,+1 (449) 718-4931,Morris28@gmail.com,3700,renter,inactive,1633
118,Angelo,Waters,+1 (876) 561-5750,Angelo_Waters@yahoo.com,80000,buyer,inactive,319
119,Dixie,Lemke,+1 (090) 151-3824,Dixie.Lemke67@yahoo.com,2900,renter,inactive,2627
120,Leo,Schimmel,+1 (896) 398-6655,Leo.Schimmel67@hotmail.com,2305000,buyer,inactive,1918
121,Kara,Gutkowski-Terry,+1 (336) 596-7159,Kara.Gutkowski-Terry@hotmail.com,4205000,buyer,inactive,1471
122,Karl,Zboncak,+1 (857) 677-6434,Karl54@gmail.com,80000,buyer,looking,1982
123,Deborah,Hoppe,+1 (489) 821-8619,Deborah74@gmail.com,4700,renter,inactive,762
124,Luis,Roob,+1 (814) 495-8859,Luis.Roob58@gmail.com,1580000,buyer,inactive,1158
125,Patty,Herzog-Bechtelar,+1 (933) 339-6425,Patty_Herzog-Bechtelar56@yahoo.com,4000,renter,inactive,2484
126,Andrea,Ruecker,+1 (009) 112-7245,Andrea_Ruecker75@yahoo.com,1200,renter,inactive,937
127,Allison,Zemlak,+1 (330) 109-9353,Allison_Zemlak79@yahoo.com,2305000,buyer,looking,3974
128,William,Lesch,+1 (215) 447-6573,William.Lesch@gmail.com,600,renter,looking,2323
129,Alison,Davis,+1 (535) 481-1566,Alison55@hotmail.com,4800,renter,inactive,4138
130,Toby,Haag,+1 (032) 999-1920,Toby.Haag27@yahoo.com,2000,renter,inactive,4669
131,Harry,VonRueden,+1 (149) 509-3836,Harry_VonRueden@hotmail.com,4100,renter,inactive,3918
132,Kari,Rolfson,+1 (571) 634-6003,Kari67@gmail.com,630000,buyer,looking,2677
133,Milton,Schinner,+1 (989) 951-4866,Milton10@hotmail.com,4055000,buyer,looking,2158
134,Ramon,Sanford,+1 (942) 057-5073,Ramon14@hotmail.com,4580000,buyer,inactive,58
135,Mamie,Turcotte,+1 (555) 471-2501,Mamie.Turcotte75@yahoo.com,4500,renter,inactive,1050
136,Irving,Friesen,+1 (306) 588-9495,Irving.Friesen@yahoo.com,3000,renter,inactive,4165
137,Julian,Gutmann,+1 (316) 466-7541,Julian19@yahoo.com,4300,renter,inactive,4172
138,Joshua,Glover,+1 (268) 897-6346,Joshua35@gmail.com,3700,renter,looking,4040
139,Grace,Rowe,+1 (521) 154-8257,Grace.Rowe@gmail.com,1700,renter,looking,1274
140,Julian,Zulauf,+1 (288) 530-6949,Julian17@gmail.com,4100,renter,looking,1951
141,Krystal,Mills,+1 (486) 052-4343,Krystal.Mills@yahoo.com,3305000,buyer,looking,2903
142,Gary,Schiller,+1 (426) 398-2537,Gary_Schiller87@yahoo.com,4480000,buyer,looking,3512
143,Bernard,Pacocha,+1 (722) 873-3925,Bernard.Pacocha68@gmail.com,1700,renter,inactive,3455
144,Megan,Streich,+1 (177) 309-8918,Megan_Streich34@yahoo.com,4900,renter,inactive,2047
145,Clara,Stracke,+1 (475) 276-7968,Clara_Stracke78@yahoo.com,3305000,buyer,inactive,3161
146,Virginia,Armstrong,+1 (741) 652-5270,Virginia.Armstrong@hotmail.com,4200,renter,inactive,1161
147,Alexandra,Wunsch,+1 (485) 965-2816,Alexandra.Wunsch@gmail.com,3700,renter,inactive,976
148,Rolando,Cartwright,+1 (087) 856-9419,Rolando19@gmail.com,5030000,buyer,inactive,2201
149,Marjorie,Dibbert,+1 (906) 284-5492,Marjorie41@hotmail.com,2000,renter,inactive,3184
150,Janie,Kirlin,+1 (990) 744-0957,Janie79@hotmail.com,3180000,buyer,looking,4234
151,Courtney,Ferry,+1 (180) 089-7276,Courtney_Ferry@yahoo.com,3900,renter,inactive,2175
152,Vivian,Hand,+1 (762) 045-7130,Vivian.Hand@hotmail.com,3630000,buyer,looking,658
153,Jaime,Wiegand,+1 (394) 213-1460,Jaime12@yahoo.com,2200,renter,inactive,4519
154,Jamie,Gerhold,+1 (613) 086-9485,Jamie78@hotmail.com,4980000,buyer,looking,2421
155,Glenn,Kuhic,+1 (379) 060-0636,Glenn8@yahoo.com,4300,renter,looking,2353
156,Rex,Schuster,+1 (429) 196-0285,Rex85@yahoo.com,2855000,buyer,inactive,1321
157,Peter,Heidenreich,+1 (097) 334-1459,Peter32@gmail.com,2400,renter,inactive,2122
158,Alyssa,Schimmel,+1 (074) 448-0754,Alyssa16@gmail.com,1200,renter,looking,2149
159,James,Harris,+1 (849) 534-3877,James51@yahoo.com,300,renter,looking,2208
160,Andy,Mills,+1 (798) 762-7584,Andy.Mills61@gmail.com,3100,renter,looking,4392
161,Verna,Keeling,+1 (331) 106-4130,Verna_Keeling17@hotmail.com,2805000,buyer,inactive,1691
162,Levi,Schultz,+1 (648) 447-9796,Levi.Schultz@gmail.com,4380000,buyer,inactive,243
163,Irving,Bauch,+1 (783) 305-9886,Irving.Bauch@gmail.com,1105000,buyer,inactive,1629
164,Lee,Donnelly,+1 (569) 495-0767,Lee_Donnelly13@gmail.com,2430000,buyer,inactive,629
165,Vera,Goldner,+1 (737) 507-0335,Vera_Goldner46@yahoo.com,2900,renter,inactive,2162
166,Pat,Altenwerth,+1 (453) 352-2207,Pat13@yahoo.com,3505000,buyer,looking,1331
167,Roderick,Rice,+1 (430) 425-4449,Roderick_Rice@yahoo.com,3005000,buyer,looking,4975
168,Meredith,Lakin,+1 (991) 479-6124,Meredith64@gmail.com,605000,buyer,looking,2432
169,Everett,Walsh,+1 (575) 455-7686,Everett83@yahoo.com,2400,renter,looking,125
170,Al,Harber,+1 (812) 669-5614,Al_Harber@gmail.com,4205000,buyer,inactive,1363
171,Violet,Zboncak,+1 (385) 335-0562,Violet_Zboncak@yahoo.com,4905000,buyer,inactive,4086
172,Tommy,McClure,+1 (083) 795-9603,Tommy41@gmail.com,2800,renter,looking,1562
173,Nick,Towne,+1 (380) 581-6624,Nick_Towne@yahoo.com,1000,renter,inactive,3707
174,Lila,Bailey,+1 (223) 651-7140,Lila.Bailey0@yahoo.com,1905000,buyer,inactive,1692
175,Ryan,Morissette,+1 (027) 949-8433,Ryan59@yahoo.com,980000,buyer,looking,4822
176,Connie,Williamson,+1 (934) 224-5155,Connie1@hotmail.com,605000,buyer,inactive,4777
177,Joan,Ziemann,+1 (250) 291-2721,Joan27@gmail.com,4080000,buyer,inactive,2569
178,Kara,Barton,+1 (323) 797-2626,Kara60@gmail.com,3200,renter,inactive,651
179,Rudy,Denesik,+1 (367) 274-0401,Rudy42@gmail.com,2600,renter,inactive,1743
180,Tyrone,Parisian,+1 (209) 854-2750,Tyrone78@hotmail.com,1500,renter,looking,1874
181,Sylvia,Pacocha,+1 (230) 217-5779,Sylvia89@hotmail.com,1900,renter,looking,591
182,Oscar,Larson,+1 (160) 450-2987,Oscar.Larson@gmail.com,3580000,buyer,inactive,1843
183,Anne,Schneider,+1 (667) 823-1414,Anne93@yahoo.com,480000,buyer,inactive,4123
184,Wilbert,Smith,+1 (534) 197-6129,Wilbert.Smith@yahoo.com,1200,renter,inactive,1675
185,Loren,Pagac,+1 (622) 109-4916,Loren38@yahoo.com,330000,buyer,looking,1072
186,Willis,Fritsch,+1 (510) 874-1677,Willis23@gmail.com,1355000,buyer,inactive,4897
187,Harriet,Rippin,+1 (701) 011-2838,Harriet23@yahoo.com,2000,renter,inactive,3544
188,Dora,D'Amore,+1 (684) 402-0563,Dora85@hotmail.com,4655000,buyer,inactive,1232
189,Wm,Wehner,+1 (386) 863-5082,Wm6@hotmail.com,405000,buyer,inactive,105
190,Brittany,Kertzmann,+1 (803) 141-2887,Brittany.Kertzmann10@gmail.com,4000,renter,looking,1158
191,Don,Flatley,+1 (622) 068-8908,Don.Flatley@hotmail.com,3700,renter,inactive,848
192,Larry,Maggio,+1 (354) 253-8368,Larry.Maggio26@hotmail.com,3300,renter,inactive,309
193,Della,Strosin,+1 (955) 835-9519,Della.Strosin91@hotmail.com,4800,renter,looking,968
194,Danny,Strosin,+1 (940) 407-0508,Danny.Strosin@hotmail.com,3105000,buyer,inactive,2346
195,Connie,Gerhold,+1 (460) 506-9604,Connie96@gmail.com,1700,renter,inactive,1426
196,Gwen,Keebler,+1 (531) 030-3537,Gwen_Keebler78@hotmail.com,1580000,buyer,inactive,2762
197,Mark,Yundt,+1 (185) 579-6966,Mark.Yundt92@hotmail.com,1400,renter,inactive,3674
198,Rodolfo,Daugherty,+1 (959) 674-4893,Rodolfo.Daugherty@gmail.com,3680000,buyer,inactive,35
199,April,Kuhn,+1 (747) 703-9680,April.Kuhn@gmail.com,2000,renter,inactive,4650
200,Lucas,Johns,+1 (117) 575-8509,Lucas.Johns22@yahoo.com,2300,renter,inactive,3967
201,Mike,Gleason,+1 (249) 172-5175,Mike_Gleason17@hotmail.com,1805000,buyer,looking,1978
202,Jesus,Wilderman,+1 (039) 276-4881,Jesus65@gmail.com,780000,buyer,inactive,1173
203,Jared,Tremblay,+1 (132) 704-1542,Jared_Tremblay46@gmail.com,3300,renter,inactive,1231
204,Cristina,Marks-Lind,+1 (022) 901-9469,Cristina.Marks-Lind2@gmail.com,1630000,buyer,inactive,2180
205,Geraldine,Smitham,+1 (102) 841-5351,Geraldine_Smitham88@gmail.com,2500,renter,inactive,1010
206,Gayle,Langworth,+1 (985) 161-7956,Gayle23@yahoo.com,355000,buyer,inactive,2518
207,Misty,Sauer,+1 (415) 143-6336,Misty.Sauer82@gmail.com,3730000,buyer,looking,3003
208,Clarence,Howe,+1 (170) 375-6414,Clarence_Howe99@hotmail.com,2900,renter,inactive,1241
209,Frank,Kiehn-Homenick,+1 (691) 081-1649,Frank.Kiehn-Homenick@hotmail.com,4555000,buyer,looking,4205
210,Norman,Cole,+1 (665) 820-4995,Norman88@gmail.com,2855000,buyer,inactive,2268
211,Tyler,Bergstrom,+1 (836) 851-5807,Tyler.Bergstrom@yahoo.com,800,renter,inactive,2329
212,Helen,Windler,+1 (243) 378-7988,Helen91@hotmail.com,3630000,buyer,looking,4549
213,Billie,Schroeder,+1 (033) 565-4593,Billie_Schroeder@yahoo.com,3805000,buyer,inactive,4712
214,Sadie,Collier,+1 (551) 243-9562,Sadie.Collier@yahoo.com,4305000,buyer,inactive,2751
215,Kendra,Brakus,+1 (511) 897-7140,Kendra17@yahoo.com,1700,renter,inactive,1976
216,Maryann,McDermott-Hauck,+1 (633) 186-7741,Maryann_McDermott-Hauck@gmail.com,4800,renter,inactive,3365
217,Edward,Gottlieb,+1 (279) 703-1048,Edward_Gottlieb@hotmail.com,2405000,buyer,inactive,2612
218,Rosalie,Hayes-Klein,+1 (777) 840-4426,Rosalie.Hayes-Klein@gmail.com,1955000,buyer,looking,2318
219,Darrell,Parker,+1 (049) 936-6397,Darrell_Parker@hotmail.com,130000,buyer,inactive,3477
220,Irene,Hickle,+1 (252) 022-8600,Irene.Hickle@yahoo.com,4600,renter,inactive,967
221,Victor,Lueilwitz,+1 (674) 554-7938,Victor.Lueilwitz55@gmail.com,4300,renter,inactive,4858
222,Madeline,Emard,+1 (445) 035-6294,Madeline.Emard18@hotmail.com,105000,buyer,inactive,1592
223,Kay,Weissnat,+1 (105) 669-4364,Kay16@yahoo.com,4405000,buyer,inactive,2070
224,Marcella,Borer,+1 (398) 065-9336,Marcella21@yahoo.com,1130000,buyer,inactive,1934
225,Dominic,Gusikowski,+1 (147) 245-1400,Dominic.Gusikowski29@yahoo.com,1430000,buyer,inactive,2010
226,Lonnie,Mayert,+1 (874) 350-2260,Lonnie.Mayert@yahoo.com,630000,buyer,inactive,846
227,Jeremiah,Sporer,+1 (753) 364-3485,Jeremiah51@hotmail.com,3700,renter,inactive,1864
228,Edna,Halvorson,+1 (303) 284-9546,Edna_Halvorson@yahoo.com,800,renter,inactive,2654
229,Patricia,Von,+1 (292) 510-0535,Patricia38@hotmail.com,1800,renter,inactive,4345
230,Alfredo,Thompson,+1 (748) 208-9792,Alfredo.Thompson68@gmail.com,1800,renter,looking,783
231,Opal,Shanahan,+1 (905) 199-5234,Opal_Shanahan@yahoo.com,400,renter,inactive,683
232,Kristopher,Hand,+1 (828) 420-0312,Kristopher_Hand@yahoo.com,4780000,buyer,looking,2250
233,Andrea,Ward,+1 (446) 974-6174,Andrea_Ward70@hotmail.com,4100,renter,inactive,4301
234,Latoya,Schaefer,+1 (379) 638-6334,Latoya83@gmail.com,830000,buyer,inactive,1014
235,Tasha,Runte,+1 (264) 438-8049,Tasha_Runte@gmail.com,5100,renter,inactive,2514
236,Jo,Reynolds,+1 (353) 481-5687,Jo.Reynolds@hotmail.com,200,renter,inactive,39
237,Joshua,Ernser-Franecki,+1 (538) 177-2490,Joshua66@gmail.com,200,renter,looking,161
238,Blanche,Pollich,+1 (557) 587-7491,Blanche.Pollich@gmail.com,1030000,buyer,inactive,512
239,Ervin,Rowe,+1 (555) 841-6012,Ervin_Rowe@hotmail.com,4755000,buyer,inactive,3507
240,Lynn,Wisoky,+1 (300) 132-8141,Lynn.Wisoky98@gmail.com,2400,renter,inactive,3499
241,Devin,Strosin,+1 (632) 703-5262,Devin_Strosin22@yahoo.com,2730000,buyer,looking,290
242,Derek,Effertz,+1 (865) 422-6229,Derek_Effertz@gmail.com,4030000,buyer,inactive,4823
243,Malcolm,Spencer,+1 (122) 223-7403,Malcolm72@gmail.com,4205000,buyer,inactive,1934
244,Rosalie,O'Hara,+1 (650) 837-4147,Rosalie78@yahoo.com,3930000,buyer,inactive,2409
245,Sherry,Runolfsdottir,+1 (942) 184-7730,Sherry.Runolfsdottir39@hotmail.com,2980000,buyer,looking,2369
246,Kathryn,Barrows,+1 (841) 049-7601,Kathryn_Barrows@yahoo.com,500,renter,looking,651
247,Lindsey,Kub,+1 (726) 148-9451,Lindsey_Kub@yahoo.com,1600,renter,inactive,3369
248,Vanessa,Crooks,+1 (822) 831-3532,Vanessa.Crooks@gmail.com,400,renter,inactive,4842
249,Emilio,Wolff,+1 (907) 246-0842,Emilio.Wolff@hotmail.com,3005000,buyer,looking,4029
250,Bennie,Gleichner,+1 (788) 509-4309,Bennie_Gleichner@hotmail.com,2930000,buyer,looking,25
251,Julian,Stehr,+1 (491) 048-9069,Julian_Stehr@gmail.com,3900,renter,inactive,1213
252,Tabitha,Ferry,+1 (287) 369-8574,Tabitha31@yahoo.com,330000,buyer,looking,1913
253,Leslie,Schuster,+1 (993) 327-5778,Leslie_Schuster34@hotmail.com,1800,renter,inactive,2826
254,Janie,Huels,+1 (419) 059-5239,Janie.Huels73@gmail.com,480000,buyer,looking,504
255,Courtney,Farrell,+1 (089) 489-4339,Courtney.Farrell21@hotmail.com,2630000,buyer,inactive,4655
256,Jean,O'Hara,+1 (136) 881-6556,Jean_OHara@yahoo.com,4000,renter,looking,482
257,Julio,Auer,+1 (087) 499-2614,Julio.Auer77@hotmail.com,2200,renter,looking,236
258,Cody,Balistreri,+1 (151) 537-3417,Cody_Balistreri72@gmail.com,4400,renter,inactive,1485
259,Gretchen,Auer,+1 (914) 760-9065,Gretchen_Auer71@gmail.com,3200,renter,looking,4925
260,Clyde,Lind,+1 (427) 342-9992,Clyde_Lind7@gmail.com,1905000,buyer,inactive,274
261,Morris,Jerde,+1 (303) 020-4732,Morris.Jerde@yahoo.com,2055000,buyer,inactive,2163
262,Isabel,Hoeger,+1 (204) 095-3957,Isabel12@gmail.com,2730000,buyer,looking,1654
263,Marco,Zulauf,+1 (077) 926-8994,Marco6@yahoo.com,2330000,buyer,looking,4408
264,Holly,Marvin-Yost,+1 (581) 622-3199,Holly_Marvin-Yost@gmail.com,1400,renter,looking,2571
