property#,owner_id,street_address,apt#,city,state,zip_code,home_type,bedrooms,bathrooms,sq_feet,lot_size,year_built,architecture,pool,property_taxes,condo_fees,when_bought,remaining_mortgage
51,7550,8788 Harley Gardens,NULL,Sandrafield,Massachusetts,91116,house,8,1,4600,1.27,2008,colonial,Y, NULL ,55,2011,89375
52,654,159 Ozella Ranch,NULL,Malloryville,Idaho,784,house,1,1,1100,0.3,1931,cape cod,N, NULL ,13,2019,8125
53,1026,73206 Ward Crest,NULL,East Ryleeland,Montana,77907,house,5,2,3200,0.88,2015,country,N, NULL ,38,2020,19150
54,7189,71909 Rau Motorway,NULL,East Maximus,Kentucky,5576,house,5,2,3200,0.88,2007,victorian,N, NULL ,38,1998,124475
55,7525,794 Nikolaus Centers,NULL,Kettering,Colorado,66129,house,12,2,6700,1.84,1946,tudor,Y, NULL ,80,2019,50187.5
56,3912,54046 Olson Falls,NULL,Cristton,Georgia,51562,house,9,2,5200,1.43,1985,craftsman,N, NULL ,62,1989,272562.5
57,9569,806 O'Keefe Parkways,NULL,Rohnert Park,Texas,58294,house,12,10,7500,2.06,1996,cottage,Y, NULL ,91,2020,45290
58,5774,65126 Liam Lane,NULL,South Major,Connecticut,1834,house,6,2,3700,1.02,1946,mediterranean,N, NULL ,44,2002,121825
59,7603,2393 Cleo Unions,NULL,New Axeltown,Texas,92927,house,5,5,3500,0.96,1966,ranch,Y, NULL ,42,2008,84280
60,3722,329 Kattie Run,NULL,Huntington Beach,Georgia,93163,house,2,2,1700,0.47,1991,contemporary,N, NULL ,20,2002,55825
61,1985,205 Katelynn Cove,NULL,Laguna Niguel,Oklahoma,38751,house,2,2,1700,0.47,2007,italian,Y, NULL ,20,2019,12687.5
62,5834,45594 Hudson Harbors,NULL,Robbport,Alaska,2332,house,5,3,3300,0.91,2018,georgian,N, NULL ,40,1985,192952.5
63,3217,420 Erick Trail,NULL,Coconut Creek,Montana,99733,house,11,11,7100,1.95,1944,greek,N, NULL ,86,2006,193185
64,8686,882 Ullrich Island,NULL,Waipahu,Wisconsin,95307,house,12,1,6600,1.82,2018,french,Y, NULL ,79,2008,158000
65,989,6165 Mabel Rapid,NULL,Allen,California,60748,house,9,2,5200,1.43,1952,modern,Y, NULL ,62,1997,210262.5
66,8277,58957 Eileen Rapids,NULL,Autumnland,Nevada,74848,house,3,2,2200,0.61,2002,gothic,Y, NULL ,26,2003,69037.5
67,9144,5275 Walter Causeway,NULL,Fort Audreanne,Nebraska,8435,house,10,1,5600,1.54,1939,prairie,N, NULL ,67,1992,268000
68,3488,579 Viola Gateway,NULL,Emmanuelchester,Indiana,6003,house,2,2,1700,0.47,1928,rowhouse,Y, NULL ,20,1996,71050
69,9817,9549 Maggio Point,NULL,Fort D'angeloside,Virginia,78714,house,8,1,4600,1.27,1934,antebellum,Y, NULL ,55,1986,261250
70,8343,6286 Yost Hill,NULL,Andresfort,Montana,78486,house,3,2,2200,0.61,2003,federal,N, NULL ,26,2005,62462.5
71,8181,815 Austin Parkways,NULL,Marcelton,North Dakota,76938,house,4,4,2900,0.8,1947,farmhouse,Y, NULL ,35,2021,13072.5
72,5493,64172 McGlynn Walk,NULL,Fort Brian,Michigan,54929,house,9,5,5500,1.51,1990,saltbox,Y, NULL ,66,1995,239757.5
73,7740,659 Schmeler Greens,NULL,Gabrielland,California,76024,house,3,2,2200,0.61,2001,A-frame,N, NULL ,26,2022,6575
74,9278,5660 Elmore Centers,NULL,West Veronica,Mississippi,64601,house,2,1,1600,0.44,1967,spanish,N, NULL ,19,2018,14250
75,7359,1373 Merritt Course,NULL,Brookeworth,California,57055,house,8,1,4600,1.27,1976,cabin,N, NULL ,55,1995,199375
76,7507,10541 Nader Ridge,NULL,Janiyastad,Washington,68810,house,2,1,1600,0.44,1978,colonial,N, NULL ,19,1991,78375
77,3740,37789 Leila Divide,NULL,Roderickbury,Louisiana,2934,house,3,3,2300,0.63,1922,cape cod,Y, NULL ,28,2004,68950
78,4896,41192 Rosemarie Hill,NULL,Adolphusberg,California,9233,house,11,4,6400,1.76,2010,country,Y, NULL ,77,1992,307440
79,3234,9914 Senger Valleys,NULL,New Rusty,Maryland,321,house,5,3,3300,0.91,1932,victorian,Y, NULL ,40,1989,173162.5
80,5210,959 Delaney Crossroad,NULL,Stammport,Connecticut,27279,house,12,5,7000,1.93,2005,tudor,Y, NULL ,84,1994,315525
81,8137,220 Daugherty Radial,NULL,Jackson,Arkansas,62558,house,9,7,5700,1.57,1949,craftsman,N, NULL ,69,2010,120260
82,4869,281 Kshlerin Way,NULL,South Eviefort,Louisiana,84810,house,7,1,4100,1.13,2010,cottage,N, NULL ,49,1994,183750
83,5505,9521 Effertz Plain,NULL,West Oscar,Illinois,24293,house,1,1,1100,0.3,1992,mediterranean,Y, NULL ,13,2004,32500
84,2644,20938 Schulist Radial,NULL,Port Rene,South Carolina,56771,house,1,1,1100,0.3,1938,ranch,N, NULL ,13,2011,21125
85,6225,65526 Hyatt Loop,NULL,Lavonboro,New York,10746,house,3,3,2300,0.63,1934,contemporary,Y, NULL ,28,1988,124110
86,9318,3950 Zane Glen,NULL,Katelynmouth,Indiana,70768,house,3,3,2300,0.63,1934,italian,Y, NULL ,28,1994,103425
87,9746,37971 Ankunding Knolls,NULL,North Lonzohaven,North Carolina,11844,house,12,5,7000,1.93,1920,georgian,Y, NULL ,84,1988,378630
88,3096,90262 Howe Brooks,NULL,South Aidan,New York,59792,house,9,2,5200,1.43,2013,greek,N, NULL ,62,2021,23362.5
89,7690,9314 Rutherford Walks,NULL,East Laylafield,Kentucky,77772,house,8,2,4700,1.29,2013,french,N, NULL ,56,2017,49262.5
90,4330,87100 Kaelyn Mews,NULL,Kamrynberg,Arizona,74045,house,11,9,6900,1.9,1996,modern,N, NULL ,83,2008,166600
91,2385,22433 Cummings Row,NULL,Plainfield,New York,63120,house,4,1,2600,0.72,1957,gothic,Y, NULL ,31,1989,135625
92,5564,9929 Mayra Roads,NULL,Clarksville,Arizona,86303,house,12,6,7100,1.95,2009,prairie,Y, NULL ,85,2016,85440
93,1043,229 Phyllis Gardens,NULL,Danbury,Massachusetts,44470,house,9,7,5700,1.57,1972,rowhouse,Y, NULL ,69,1994,257700
94,3128,610 Jast Skyway,NULL,Kennewick,Alaska,12342,house,4,2,2700,0.74,1926,antebellum,N, NULL ,32,1999,100937.5
95,1584,55573 Wehner Center,NULL,Columbia,South Carolina,91522,house,3,2,2200,0.61,1973,federal,Y, NULL ,26,2012,39450
96,8406,1842 Heaney Crest,NULL,East Jaimefield,Mississippi,25176,house,10,9,6400,1.76,1994,farmhouse,N, NULL ,77,1993,299537.5
97,2102,89416 Kiehn Spring,NULL,North Hellenfurt,North Dakota,514,house,12,12,7700,2.12,1967,saltbox,Y, NULL ,93,2018,69855
98,8462,442 Goyette Knoll,NULL,Kissimmee,Alaska,54904,house,10,3,5800,1.6,1961,A-frame,Y, NULL ,70,2022,17395
99,4154,68532 Borer Inlet,NULL,Fort Kathryneshire,Oklahoma,10989,house,4,2,2700,0.74,1971,spanish,N, NULL ,32,2019,20187.5
100,1457,41071 Kuhic Village,NULL,Lake Adrianfurt,Montana,77406,house,2,2,1700,0.47,1927,cabin,N, NULL ,20,2014,25375
101,8943,39818 Hackett Trace,NULL,New Hipolitotown,Oregon,24326,house,11,5,6500,1.79,2016,colonial,N, NULL ,78,2000,234420
102,5367,9637 Fredrick Roads,NULL,Hauckfurt,Illinois,40708,house,9,2,5200,1.43,2023,cape cod,Y, NULL ,62,2001,179112.5
103,7005,5546 Johann Parks,NULL,North Reva,California,9343,house,3,1,2100,0.58,1961,country,Y, NULL ,25,1991,103125
104,736,258 Willms Wells,NULL,New Peter,North Dakota,74898,house,4,4,2900,0.8,2023,victorian,N, NULL ,35,2018,26145
105,7509,44017 Alena Row,NULL,East Luigiboro,South Carolina,14348,house,10,9,6400,1.76,1981,tudor,N, NULL ,77,1990,328525
106,3889,4018 Russel Park,NULL,McCulloughfurt,Nebraska,49459,house,7,6,4600,1.27,1972,craftsman,Y, NULL ,55,2017,48510
107,5338,16611 Devon Hill,NULL,Pfannerstillview,Illinois,84601,house,3,1,2100,0.58,1979,cottage,Y, NULL ,25,2019,15625
108,5350,13923 Toy Mall,NULL,Krajcikfort,Florida,6601,house,4,2,2700,0.74,2024,mediterranean,N, NULL ,32,2023,4037.5
109,1886,28378 Yadira Pass,NULL,Lavonnefurt,Missouri,6268,house,12,7,7200,1.98,1973,ranch,Y, NULL ,87,2021,32520
110,7162,42022 Jaquan Shoals,NULL,South Sashaside,New York,69387,house,5,5,3500,0.96,1988,contemporary,N, NULL ,42,2008,84280
111,8167,62034 Lelah Mills,NULL,Deannastead,Maryland,10806,house,7,7,4700,1.29,1950,italian,Y, NULL ,57,2016,56720
112,9041,392 Helene Center,NULL,Jayceton,Oregon,25352,house,12,4,6900,1.9,2023,georgian,N, NULL ,83,1985,403942.5
113,4729,647 Cartwright Garden,NULL,Gutkowskifield,Maine,6767,house,4,4,2900,0.8,1992,greek,Y, NULL ,35,1984,174300
114,7898,734 Cathrine Point,NULL,Las Cruces,North Dakota,4384,house,12,9,7400,2.04,1943,french,N, NULL ,89,2002,245575
115,6574,996 Gusikowski Lane,NULL,Gerlachville,Tennessee,93713,house,1,1,1100,0.3,1963,modern,Y, NULL ,13,1988,58500
116,5002,27122 Reynolds Neck,NULL,Douglasworth,Alabama,78593,house,9,3,5300,1.46,1986,gothic,N, NULL ,64,1994,238425
117,8307,574 Grant Run,NULL,South Arthur,Texas,52056,house,7,3,4300,1.18,1976,prairie,Y, NULL ,52,2010,90265
118,8138,39267 Enrique Harbor,NULL,Wylie,North Carolina,74451,house,11,5,6500,1.79,1980,rowhouse,N, NULL ,78,2016,78140
119,1958,75148 Sigrid Causeway,NULL,New Gabrielside,Montana,99349,house,1,1,1100,0.3,2005,antebellum,N, NULL ,13,2021,4875
120,2135,588 Lola Flat,NULL,Tamarac,Iowa,44457,house,4,2,2700,0.74,1993,federal,Y, NULL ,32,2012,48450
121,5112,82291 Amos Lock,NULL,South Brantburgh,North Carolina,57992,house,11,7,6700,1.84,1993,farmhouse,Y, NULL ,81,2020,40360
122,2793,59229 Lillian Skyway,NULL,Lake Dorian,Nebraska,75219,house,7,3,4300,1.18,1988,saltbox,N, NULL ,52,2023,6447.5
123,7154,7611 Dach Court,NULL,East Jarvis,Vermont,89004,house,2,1,1600,0.44,1978,A-frame,Y, NULL ,19,1993,73625
124,8702,2814 Stroman View,NULL,Newark,Iowa,74,house,1,1,1100,0.3,1924,spanish,Y, NULL ,13,2002,35750
125,3677,9377 Flatley Lakes,NULL,Pedrocester,Virginia,52587,house,8,8,5300,1.46,1929,cabin,Y, NULL ,64,1999,200000
126,6187,875 Schuster Unions,NULL,Carolanneport,Texas,95269,house,11,3,6300,1.73,2015,colonial,Y, NULL ,76,1996,264530
127,3898,30418 Bosco Glen,NULL,East Randi,New Mexico,21912,house,11,9,6900,1.9,2006,cape cod,Y, NULL ,83,1994,312375
128,6098,7100 Sallie Pines,NULL,Alexandrineshire,Florida,22209,house,5,3,3300,0.91,2017,country,N, NULL ,40,2002,108845
129,995,55149 Darryl Place,NULL,Hoegerstad,Nebraska,21699,house,4,3,2800,0.77,1952,victorian,Y, NULL ,34,1985,163702.5
130,5122,62227 Koss Terrace,NULL,Fort Stefanieville,Rhode Island,70810,house,12,9,7400,2.04,1970,tudor,Y, NULL ,89,1986,424175
131,4913,2949 Abe Overpass,NULL,Wunschton,Maine,3374,house,9,2,5200,1.43,1969,craftsman,Y, NULL ,62,1984,311500
132,7937,1514 Darwin Ranch,NULL,South Gretchenberg,Minnesota,27505,house,8,2,4700,1.29,1976,cottage,Y, NULL ,56,1997,190012.5
133,7137,5980 Weimann Stravenue,NULL,Douglasmouth,Maryland,94898,house,12,1,6600,1.82,1981,mediterranean,Y, NULL ,79,2018,59250
134,7746,643 Elisabeth Turnpike,NULL,Doylestead,Texas,47542,house,11,1,6100,1.68,1924,ranch,Y, NULL ,73,1998,237250
135,9009,42200 Kreiger Meadow,NULL,Domenicoside,Wyoming,68822,house,5,1,3100,0.85,1963,contemporary,Y, NULL ,37,2021,13875
136,3872,5995 Schmitt Cape,NULL,Wisokyside,Ohio,34513,house,7,6,4600,1.27,2021,italian,N, NULL ,55,1999,173250
137,3324,5362 Abshire Rapids,NULL,Port Evie,Arizona,81497,house,3,2,2200,0.61,2020,georgian,Y, NULL ,26,2005,62462.5
138,674,4477 Alycia Creek,NULL,Dickiside,Nevada,12786,house,1,1,1100,0.3,1943,greek,Y, NULL ,13,1994,48750
139,7562,19142 Gorczany Squares,NULL,Harveyfield,Texas,86710,house,1,1,1100,0.3,1947,french,Y, NULL ,13,2014,16250
140,8829,247 Jeromy Village,NULL,New Weldon,Michigan,54918,house,10,5,6000,1.65,2020,modern,Y, NULL ,72,2017,63122.5
141,2955,826 Koelpin Brooks,NULL,Nicklausmouth,Wyoming,71095,house,3,2,2200,0.61,1980,gothic,N, NULL ,26,2005,62462.5
142,8856,62415 Thompson Shoal,NULL,Urbanbury,Florida,44334,house,6,6,4100,1.13,1921,prairie,N, NULL ,49,2014,61800
143,8586,94646 Abe Unions,NULL,Schaeferport,Kansas,65100,house,8,5,5000,1.38,1956,rowhouse,N, NULL ,60,2012,90210
144,8167,8031 Isabel Isle,NULL,Lake Kaelynside,New Hampshire,80087,house,4,1,2600,0.72,1949,antebellum,N, NULL ,31,2012,46500
145,4720,968 Yundt Garden,NULL,Carolboro,North Dakota,90863,house,3,2,2200,0.61,1942,federal,N, NULL ,26,2001,75612.5
146,2487,177 Macejkovic Radial,NULL,Lerachester,Florida,75547,house,12,8,7300,2.01,1972,farmhouse,N, NULL ,88,1992,352000
147,3509,3989 Friesen Point,NULL,West Henriworth,South Dakota,58491,house,4,3,2800,0.77,1939,saltbox,N, NULL ,34,1991,138517.5
148,3476,666 Shaina Canyon,NULL,Port Maverickfurt,Illinois,25461,house,7,3,4300,1.18,1930,A-frame,Y, NULL ,52,2006,116055
149,8152,2023 Green Field,NULL,Beatricecester,Texas,78529,house,5,2,3200,0.88,1932,spanish,N, NULL ,38,1992,153200
150,7029,6261 Torp Estate,NULL,Geoborough,Arizona,56302,house,12,11,7600,2.09,1956,cabin,Y, NULL ,92,2017,80377.5
151,2194,2457 Penelope Plaza,NULL,East Jamarcus,Arizona,75053,house,2,1,1600,0.44,1949,colonial,Y, NULL ,19,1999,59375
152,7530,682 Juanita Hill,NULL,Trinityton,Indiana,37252,house,6,5,4000,1.1,2016,cape cod,N, NULL ,48,1996,168490
153,7489,74208 Heaney Greens,NULL,New Clarabellefield,Mississippi,6283,house,1,1,1100,0.3,2006,country,N, NULL ,13,2002,35750
154,8931,39882 Bartoletti Course,NULL,South Macburgh,Rhode Island,38112,house,10,2,5700,1.57,2020,victorian,Y, NULL ,68,1992,273200
155,7972,8649 Amanda Expressway,NULL,Albuquerque,California,93449,house,2,1,1600,0.44,2024,tudor,Y, NULL ,19,2008,38000
156,5179,7945 Bill Centers,NULL,Hahnside,Montana,6911,house,7,1,4100,1.13,1988,craftsman,N, NULL ,49,1986,232750
157,9728,66043 Kuhlman Points,NULL,West Lela,Pennsylvania,52589,house,12,12,7700,2.12,2020,cottage,Y, NULL ,93,2001,267777.5
158,7240,31469 Karl Manors,NULL,Marilouboro,Iowa,85003,house,9,4,5400,1.49,1997,mediterranean,Y, NULL ,65,1993,251332.5
159,1006,3302 Jaden Mountain,NULL,Domenicbury,Maine,68303,house,12,2,6700,1.84,1962,ranch,N, NULL ,80,2019,50187.5
160,7608,5106 Nicolas Divide,NULL,Lake Angelo,Nevada,239,house,12,8,7300,2.01,1926,contemporary,Y, NULL ,88,1987,407000
161,3732,84749 Jakubowski Light,NULL,Michelstad,North Dakota,71227,house,6,2,3700,1.02,1930,italian,N, NULL ,44,1995,160587.5
162,4670,2630 Padberg Shoals,NULL,East Meaghanchester,Tennessee,40570,house,8,7,5200,1.43,2016,georgian,N, NULL ,63,2005,148960
163,1690,47197 Bruen Expressway,NULL,East Daniellestead,South Carolina,93231,house,6,3,3800,1.05,1958,greek,N, NULL ,46,1990,193715
164,9446,18208 Dallin Circles,NULL,West Blake,Maine,98874,house,3,2,2200,0.61,1926,french,Y, NULL ,26,2004,65750
165,8453,54778 Levi Mills,NULL,Ziemeberg,Minnesota,78793,house,9,1,5100,1.4,2008,modern,N, NULL ,61,2000,183000
166,7531,496 Mac Port,NULL,North Orvilleview,Illinois,32787,house,10,8,6300,1.73,1979,gothic,N, NULL ,76,1990,323000
167,9137,918 Moen River,NULL,Imashire,Mississippi,76907,house,5,1,3100,0.85,1961,prairie,N, NULL ,37,1993,143375
168,2159,63063 Erdman Pass,NULL,Port Cameronshire,Kentucky,56552,house,6,2,3700,1.02,1992,rowhouse,Y, NULL ,44,1985,215962.5
169,982,9185 Halvorson Burg,NULL,West Felicityberg,Idaho,45009,house,6,1,3600,0.99,1987,antebellum,Y, NULL ,43,2004,107500
170,4296,9912 Santos Divide,NULL,Considinetown,Kentucky,81388,house,4,1,2600,0.72,2023,federal,Y, NULL ,31,2016,31000
171,8571,899 Filomena Grove,NULL,West Des Moines,Nevada,81622,house,7,2,4200,1.16,2012,farmhouse,Y, NULL ,50,2004,125750
172,7094,5898 Cali Wells,NULL,Emelieshire,Arizona,93380,house,8,2,4700,1.29,1949,saltbox,Y, NULL ,56,1994,211125
173,7095,9561 Konopelski Ramp,NULL,Marlonstead,Utah,55564,house,3,2,2200,0.61,2003,A-frame,N, NULL ,26,2016,26300
174,3961,18923 Citlalli Spur,NULL,West Lauryn,North Dakota,41960,house,9,3,5300,1.46,1933,spanish,N, NULL ,64,1996,222530
175,3055,532 Kreiger Creek,NULL,Pabloboro,Oklahoma,17132,house,8,3,4800,1.32,1987,cabin,N, NULL ,58,2007,122357.5
176,7967,94122 Murphy Course,NULL,Renton,Oklahoma,6009,house,4,1,2600,0.72,2010,colonial,N, NULL ,31,1988,139500
177,4882,923 Kessler Crescent,NULL,Santee,Delaware,77349,house,6,3,3800,1.05,1971,cape cod,Y, NULL ,46,2021,17092.5
178,6281,1532 Devonte Spring,NULL,Ezequielchester,Nebraska,59993,house,5,5,3500,0.96,1983,country,Y, NULL ,42,2015,47407.5
179,91,51440 Luettgen Burg,NULL,Camarillo,Pennsylvania,10979,house,1,1,1100,0.3,2016,victorian,N, NULL ,13,2004,32500
180,2529,988 Emmerich Mill,NULL,East Hardy,New Jersey,20884,house,8,7,5200,1.43,1927,tudor,Y, NULL ,63,2002,172480
181,6810,88078 Feest Greens,NULL,Reichelworth,Delaware,98552,house,11,10,7000,1.93,1940,craftsman,Y, NULL ,85,2002,232595
182,4732,9610 Karen Wall,NULL,West Kayley,Montana,97080,house,9,8,5800,1.6,1939,cottage,Y, NULL ,70,1992,280000
183,3669,5357 Schmeler Knoll,NULL,Ornview,Massachusetts,28232,house,7,4,4400,1.21,1932,mediterranean,Y, NULL ,53,1989,231262.5
184,5288,46886 Treutel Cape,NULL,Port Tremayneburgh,South Carolina,64875,house,8,1,4600,1.27,1922,ranch,N, NULL ,55,2003,144375
185,5512,5817 Borer Track,NULL,Jacyntheboro,Rhode Island,5764,house,8,2,4700,1.29,1958,contemporary,N, NULL ,56,1991,232237.5
186,9254,7534 Towne Parkways,NULL,Johnsworth,Wyoming,53504,house,9,4,5400,1.49,2010,italian,Y, NULL ,65,1996,227010
187,8584,61501 Rossie Parks,NULL,Midwest City,Wyoming,78626,house,10,2,5700,1.57,1995,georgian,Y, NULL ,68,1994,256125
188,6803,20659 April Haven,NULL,Carrollboro,Massachusetts,91434,house,4,1,2600,0.72,1974,greek,N, NULL ,31,1997,104625
189,711,116 Wuckert Mountains,NULL,New Sonia,Alabama,73815,house,10,5,6000,1.65,1942,french,Y, NULL ,72,1997,243472.5
190,3380,37324 White Union,NULL,Kshlerinland,Ohio,30272,house,10,9,6400,1.76,1942,modern,N, NULL ,77,2002,212575
191,8619,376 Stroman Harbor,NULL,Dickiberg,Michigan,36226,house,8,5,5000,1.38,1976,gothic,Y, NULL ,60,2023,7517.5
192,5444,4801 Alayna Throughway,NULL,Lake Donato,Delaware,43331,house,1,1,1100,0.3,1984,prairie,Y, NULL ,13,2019,8125
193,5790,2253 Volkman Tunnel,NULL,Wheaton,Kansas,53016,house,11,4,6400,1.76,2009,rowhouse,Y, NULL ,77,1989,336262.5
194,2064,102 Johnson Junction,NULL,East Ricardochester,Michigan,65334,house,12,1,6600,1.82,2007,antebellum,Y, NULL ,79,2013,108625
